,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
"Citizenship, field, and race/ethnicity",2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,,,,,
All citizenships and races/ethnicities,,,,,,,,,,,,,,,
All fields,"44,947","45,068","44,311","46,177","48,560","52,855","56,309","60,887","61,716","61,730",,,,,
S&E,"27,862","28,096","27,588","28,746","30,979","34,468","37,541","40,980","41,480","41,111",,,,,
Engineering,"5,384","5,561","5,196","5,282","5,931","6,548","7,402","8,066","8,110","7,915",,,,,
Aerospace,203,202,193,178,190,205,209,234,232,257,,,,,
Chemical,665,680,693,608,708,872,911,915,950,886,,,,,
Civil,628,647,669,685,736,830,864,935,909,902,,,,,
Electrical,"1,515","1,527","1,361","1,402","1,634","1,782","2,124","2,380","2,279","2,090",,,,,
Industrial,218,262,275,258,280,286,302,364,346,333,,,,,
Materials,454,454,381,457,494,514,611,663,665,661,,,,,
Mechanical,821,906,813,786,835,963,"1,139","1,138","1,149","1,186",,,,,
Other,880,883,811,908,"1,054","1,096","1,242","1,437","1,580","1,600",,,,,
Science,"22,478","22,535","22,392","23,464","25,048","27,920","30,139","32,914","33,370","33,196",,,,,
Natural sciences,"14,296","14,084","14,385","15,340","16,773","19,329","21,563","24,052","24,466","24,649",,,,,
Agricultural sciences,984,934,969,"1,060","1,016","1,004","1,037","1,068","1,080","1,143",,,,,
Biological sciences,"4,992","4,750","4,596","5,212","5,491","5,925","6,138","6,703","7,319","7,429",,,,,
"Earth, atmospheric, and ocean sciences",579,542,562,544,540,572,600,727,683,724,,,,,
Atmospheric sciences,87,70,68,78,77,96,95,87,106,110,,,,,
Earth sciences,393,380,404,368,369,379,430,513,469,503,,,,,
Oceanography,99,92,90,98,94,97,75,127,108,111,,,,,
Mathematics/computer sciences,"1,858","1,769","1,677","1,825","1,975","2,301","2,713","2,953","3,058","3,110",,,,,
Computer sciences,777,768,750,816,910,"1,121","1,416","1,597","1,696","1,574",,,,,
Mathematics/statistics,"1,081","1,001",927,"1,009","1,065","1,180","1,297","1,356","1,362","1,536",,,,,
Medical/other life sciences,"2,439","2,643","3,334","3,321","4,406","5,907","7,089","8,392","8,121","7,827",,,,,
Medical sciences,893,864,882,850,"1,010","1,144","1,252","1,293","1,320","1,254",,,,,
Other life sciences,"1,546","1,779","2,452","2,471","3,396","4,763","5,837","7,099","6,801","6,573",,,,,
Physical sciences,"3,444","3,446","3,247","3,378","3,345","3,620","3,986","4,209","4,205","4,416",,,,,
Astronomy,101,103,70,101,101,115,114,128,163,143,,,,,
